TimePeriod,GeoType,GeoID,GeoRank,Geography,Bicycle (number),Bicycle (percent),"Car, truck, or van (number)","Car, truck, or van (percent)",Public transportation (number),Public transportation (percent),Walked (number),Walked (percent)
2017-21,NTA2020,810601,9,Rego Park,52,0.4,"3,900",26.3,"7,744",52.2,730,4.9
2017-21,NTA2020,810602,9,Forest Hills,163,0.3,"12,607",27,"23,628",50.7,"2,671",5.7
2017-21,NTA2020,810701,9,College Point,24,0.2,"7,996",59.8,"4,099",30.6,477,3.6
2017-21,NTA2020,810702,9,Whitestone-Beechhurst,0,0,"9,373",71.8,"2,437",18.7,119,0.9
2017-21,NTA2020,810703,9,Bay Terrace-Clearview,0,0,"6,370",66,"2,128",22.1,163,1.7
2017-21,NTA2020,810704,9,Murray Hill-Broadway Flushing,118,0.5,"11,147",44.2,"8,870",35.2,"3,146",12.5
2017-21,NTA2020,810705,9,East Flushing,51,0.4,"6,225",47.5,"4,797",36.6,"1,066",8.1
2017-21,NTA2020,810706,9,Queensboro Hill,31,0.3,"4,597",48.7,"3,444",36.5,475,5
2017-21,NTA2020,810707,9,Flushing-Willets Point,243,0.9,"6,662",25.3,"11,517",43.8,"6,148",23.4
2017-21,NTA2020,810801,9,Kew Gardens Hills,44,0.3,"6,969",44.7,"5,973",38.4,"1,072",6.9
2017-21,NTA2020,810802,9,Pomonok-Electchester-Hillcrest,0,0,"6,573",43.5,"5,863",38.8,"1,241",8.2
2017-21,NTA2020,810803,9,Fresh Meadows-Utopia,33,0.3,"5,654",55.7,"2,633",25.9,259,2.5
2017-21,NTA2020,810804,9,Jamaica Estates-Holliswood,107,0.9,"4,890",43,"4,546",40,514,4.5
2017-21,NTA2020,810805,9,Jamaica Hills-Briarwood,0,0,"6,939",36.6,"8,444",44.5,"1,249",6.6
2017-21,NTA2020,810901,9,Kew Gardens,43,0.4,"3,907",32.3,"5,699",47.1,736,6.1
2017-21,NTA2020,810902,9,Richmond Hill,84,0.5,"6,964",41,"7,720",45.4,907,5.3
2017-21,NTA2020,810903,9,South Richmond Hill,1,0,"5,124",43.3,"5,400",45.6,782,6.6
2017-21,NTA2020,810904,9,Ozone Park (North),96,0.8,"4,710",38.5,"5,567",45.5,718,5.9
2017-21,NTA2020,810905,9,Woodhaven,43,0.2,"6,182",32.2,"10,897",56.7,798,4.2
2017-21,NTA2020,811001,9,South Ozone Park,68,0.2,"21,037",52.5,"15,172",37.8,"1,225",3.1
2017-21,NTA2020,811002,9,Ozone Park,24,0.2,"4,791",41.7,"5,160",44.9,393,3.4
2017-21,NTA2020,811003,9,Howard Beach-Lindenwood,36,0.3,"8,592",66.3,"3,285",25.3,367,2.8
2017-21,NTA2020,811101,9,Auburndale,26,0.2,"9,763",59.3,"4,573",27.8,538,3.3
2017-21,NTA2020,811102,9,Bayside,0,0,"9,964",56.8,"5,039",28.7,802,4.6
2017-21,NTA2020,811103,9,Douglaston-Little Neck,43,0.3,"7,905",62.7,"2,779",22,295,2.3
2017-21,NTA2020,811104,9,Oakland Gardens-Hollis Hills,27,0.2,"7,441",58.6,"3,864",30.5,323,2.5
2017-21,NTA2020,811201,9,Jamaica,53,0.2,"7,770",29.2,"15,031",56.4,"2,181",8.2
2017-21,NTA2020,811202,9,South Jamaica,11,0.1,"8,680",46.6,"8,308",44.6,551,3
2017-21,NTA2020,811203,9,Baisley Park,29,0.1,"10,626",52.3,"7,897",38.9,590,2.9
2017-21,NTA2020,811204,9,Springfield Gardens (North)-Rochdale Village,20,0.1,"7,192",50,"6,328",44,79,0.5
2017-21,NTA2020,811205,9,St. Albans,68,0.3,"14,021",52.5,"9,904",37.1,474,1.8
2017-21,NTA2020,811206,9,Hollis,17,0.1,"5,515",48.3,"4,892",42.8,300,2.6
2017-21,NTA2020,811301,9,Glen Oaks-Floral Park-New Hyde Park,12,0.1,"8,149",72.8,"1,901",17,412,3.7
2017-21,NTA2020,811302,9,Bellerose,0,0,"8,987",68,"3,433",26,42,0.3
2017-21,NTA2020,811303,9,Queens Village,79,0.3,"15,172",53.6,"9,916",35,579,2
2017-21,NTA2020,811304,9,Cambria Heights,46,0.4,"6,148",58.2,"3,630",34.3,124,1.2
2017-21,NTA2020,811305,9,Laurelton,62,0.4,"8,099",58.1,"4,190",30.1,267,1.9
2017-21,NTA2020,811306,9,Springfield Gardens (South)-Brookville,10,0.1,"6,051",55.8,"3,610",33.3,189,1.7
2017-21,NTA2020,811307,9,Rosedale,0,0,"7,776",59.7,"3,897",29.9,335,2.6
2017-21,NTA2020,811401,9,Far Rockaway-Bayswater,111,0.5,"12,200",49.6,"8,041",32.7,"1,608",6.5
2017-21,NTA2020,811402,9,Rockaway Beach-Arverne-Edgemere,196,1.2,"7,712",46.3,"6,930",41.6,696,4.2
2017-21,NTA2020,811403,9,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,109,1,"7,318",65.9,"2,263",20.4,651,5.9
2017-21,NTA2020,850101,9,St. George-New Brighton,19,0.2,"2,852",37.3,"3,548",46.4,379,5
2017-21,NTA2020,850102,9,Tompkinsville-Stapleton-Clifton-Fox Hills,44,0.6,"2,959",43,"3,245",47.2,274,4
2017-21,NTA2020,850103,9,Rosebank-Shore Acres-Park Hill,116,1.1,"5,254",51.1,"3,895",37.8,310,3
2017-21,NTA2020,850104,9,West New Brighton-Silver Lake-Grymes Hill,43,0.3,"9,476",56.4,"4,573",27.2,"1,121",6.7
2017-21,NTA2020,850105,9,Westerleigh-Castleton Corners,10,0.1,"9,815",68.5,"3,010",21,195,1.4
2017-21,NTA2020,850106,9,Port Richmond,0,0,"5,058",61.5,"2,411",29.3,265,3.2
2017-21,NTA2020,850107,9,Mariner's Harbor-Arlington-Graniteville,15,0.1,"8,757",58.8,"4,807",32.3,491,3.3
2017-21,NTA2020,850201,9,Grasmere-Arrochar-South Beach-Dongan Hills,69,0.4,"9,114",55.8,"5,312",32.5,889,5.4
2017-21,NTA2020,850202,9,New Dorp-Midland Beach,0,0,"7,464",61.5,"3,231",26.6,356,2.9
2017-21,NTA2020,850203,9,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0,0,"8,684",68.3,"2,230",17.5,217,1.7
2017-21,NTA2020,850204,9,New Springville-Willowbrook-Bulls Head-Travis,17,0.1,"13,350",67.2,"4,829",24.3,388,2
2017-21,NTA2020,850301,9,Oakwood-Richmondtown,6,0.1,"6,371",62.2,"2,977",29.1,183,1.8
2017-21,NTA2020,850302,9,Great Kills-Eltingville,49,0.2,"17,691",67.7,"5,794",22.2,236,0.9
2017-21,NTA2020,850303,9,Arden Heights-Rossville,14,0.1,"11,723",79.1,"2,318",15.6,105,0.7
2017-21,NTA2020,850304,9,Annadale-Huguenot-Prince's Bay-Woodrow,6,0,"13,726",67.9,"4,092",20.2,286,1.4
2017-21,NTA2020,850305,9,Tottenville-Charleston,0,0,"5,782",75.3,"1,229",16,235,3.1
2017-21,CDTA2020,501,7,Melrose-Mott Haven-Port Morris (CD 1),129,0.4,"5,176",16,"20,720",64,"3,420",10.6
2017-21,CDTA2020,502,7,Longwood-Hunts Point (CD 2),177,0.9,"4,611",22.9,"12,097",60.1,"2,210",11
2017-21,CDTA2020,503,7,Morrisania-Crotona Park East (CD 3),162,0.5,"7,412",22.8,"18,937",58.3,"3,628",11.2
2017-21,CDTA2020,504,7,Highbridge-Concourse (CD 4),277,0.5,"9,934",16.4,"41,647",68.9,"4,835",8
2017-21,CDTA2020,505,7,Morris Heights-Mount Hope (CD 5),202,0.4,"9,762",18.5,"34,407",65.4,"3,593",6.8
2017-21,CDTA2020,506,7,Tremont-Belmont-West Farms (CD 6),94,0.3,"6,590",22.6,"17,799",61.1,"2,498",8.6
2017-21,CDTA2020,507,7,Fordham-Bedford Park-Norwood (CD 7),418,0.7,"11,151",18.5,"38,935",64.5,"4,878",8.1
2017-21,CDTA2020,508,7,Riverdale-Kingsbridge-Marble Hill (CD 8),157,0.3,"14,056",30.6,"22,359",48.7,"3,434",7.5
2017-21,CDTA2020,509,7,Soundview-Parkchester (CD 9),226,0.3,"20,707",30.8,"37,560",55.8,"4,000",5.9
2017-21,CDTA2020,510,7,Co-op City-Throgs Neck (CD 10),200,0.4,"24,988",44.1,"23,570",41.6,"3,448",6.1
2017-21,CDTA2020,511,7,Pelham Parkway-Morris Park (CD 11),273,0.5,"19,582",37.6,"25,227",48.5,"3,434",6.6
2017-21,CDTA2020,512,7,Wakefield-Williamsbridge-Eastchester (CD 12),274,0.4,"31,007",42.6,"33,551",46.1,"2,878",4
2017-21,CDTA2020,4701,7,Williamsburg-Greenpoint (CD 1),"3,926",3.8,"12,304",12,"53,514",52.4,"12,833",12.6
2017-21,CDTA2020,4702,7,Downtown Brooklyn-Fort Greene (CD 2),"2,217",3.1,"5,619",8,"38,643",54.7,"7,585",10.7
2017-21,CDTA2020,4703,7,Bedford-Stuyvesant (CD 3),"3,051",3.5,"14,317",16.4,"50,824",58.3,"5,625",6.4
2017-21,CDTA2020,4704,7,Bushwick (CD 4),"1,648",2.6,"9,789",15.5,"39,983",63.4,"4,145",6.6
2017-21,CDTA2020,4705,7,East New York-Cypress Hills (CD 5),351,0.5,"20,438",26.3,"46,848",60.4,"3,434",4.4
2017-21,CDTA2020,4706,7,Park Slope-Carroll Gardens (CD 6),"2,549",3.8,"6,020",8.9,"35,219",51.9,"7,002",10.3
2017-21,CDTA2020,4707,7,Sunset Park-Windsor Terrace (CD 7),"1,404",2.4,"10,847",18.2,"32,684",54.9,"7,431",12.5
2017-21,CDTA2020,4708,7,Crown Heights (North) (CD 8),"2,182",3.8,"6,859",12,"34,699",60.6,"2,581",4.5
2017-21,CDTA2020,4709,7,Crown Heights (South) (CD 9),706,1.5,"7,423",15.7,"28,826",61.1,"3,772",8
2017-21,CDTA2020,4710,7,Bay Ridge-Dyker Heights (CD 10),975,1.6,"16,593",27.8,"28,194",47.3,"5,165",8.7
2017-21,CDTA2020,4711,7,Bensonhurst-Bath Beach (CD 11),"1,215",1.4,"24,741",29,"44,471",52.2,"6,849",8
2017-21,CDTA2020,4712,7,Borough Park-Kensington (CD 12),"1,041",1.5,"18,384",27,"25,874",37.9,"14,222",20.9
2017-21,CDTA2020,4713,7,Coney Island-Brighton Beach (CD 13),205,0.5,"11,602",28.2,"20,487",49.8,"4,914",11.9
2017-21,CDTA2020,4714,7,Flatbush-Midwood (CD 14),960,1.2,"18,776",24.3,"42,955",55.6,"5,036",6.5
2017-21,CDTA2020,4715,7,Sheepshead Bay-Gravesend (East) (CD 15),628,0.9,"25,855",36.9,"29,999",42.8,"5,563",7.9
2017-21,CDTA2020,4716,7,Ocean Hill-Brownsville (CD 16),260,0.8,"5,712",17.7,"22,090",68.3,"1,851",5.7
2017-21,CDTA2020,4717,7,East Flatbush (CD 17),484,0.7,"18,537",25.2,"45,463",61.8,"3,637",4.9
2017-21,CDTA2020,4718,7,Canarsie-Flatlands (CD 18),332,0.4,"40,362",43.6,"42,802",46.2,"2,664",2.9
2017-21,CDTA2020,6101,7,Financial District-Tribeca (CD 1),477,1.1,"2,089",4.6,"21,144",46.9,"10,954",24.3
2017-21,CDTA2020,6102,7,Greenwich Village-SoHo (CD 2),"2,195",4,"3,299",6,"23,962",43.4,"11,164",20.2
